abstract_id,abstract_title,session_title,ground_truth,default_model_success,default_model_indication,default_model_confidence,default_model_word_count,default_model_length,default_model_clinical_terms,default_model_complexity,default_model_has_abbreviations,default_model_has_parentheses,default_model_error,inter_model_avg_similarity,inter_model_consensus
393216,"Surgical Quality For Patients (Pts) Treated With Neoadjuvant Chemotherapy Vs Chemoradiation For Locally Advanced Rectal Cancer (Larc): Prospect (Ncctg N1048, Alliance)",Colorectal Cancer,Locally Advanced Rectal Cancer,True,Locally Advanced Rectal Cancer,,4,30,2,0.4,False,False,,,No comparison
393219,"Effectiveness And Safety Of Rectal Arterial Infusion Chemotherapy Combined With Anti-Pd1 Antibody For Microsatellite Stable Locally Advanced Rectal Cancer: Early Outcome Report Of A Two-Stage, Single Armed, Phase II Study (Raic)",Colorectal Cancer,Microsatellite Stable Locally Advanced Rectal Cancer,True,Microsatellite Stable Locally Advanced Rectal Cancer,,6,52,2,0.5,False,False,,,No comparison
147461,Depth Of Response And Mrd Status In Ultra High-Risk Myeloma And Plasma Cell Leukemia Treated With Dara-Cvrd And Augmented Autologous Transplant: Results Of The Risk-Stratified Uk Optimum/Muknine Trial,Myeloma And Other Monoclonal Gammopathies - Clinical,Ultra High-Risk Myeloma;;Plasma Cell Leukemia,True,Ultra High-Risk Myeloma;;Plasma Cell Leukemia,,5,45,2,0.45,False,False,,,No comparison
147482,Overall And Progression-Free Survival In Patients Treated With Fedratinib As First-Line Myelofibrosis (Mf) Therapy And After Prior Ruxolitinib (Rux): Results From The Jakarta And Jakarta2 Trials,Myeloproliferative Neoplasms - Clinical,First-Line Myelofibrosis,True,First-Line Myelofibrosis;;Previously Treated Myelofibrosis,,4,58,1,0.30000000000000004,False,False,,,No comparison
180260,Genomic Landscape of RUNX1-Familial Platelet Disorder with Myeloid Malignancies Reveals Rising Clonal Hematopoiesis,"Clonal Hematopoiesis, Aging and Inflammation: Poster I",RUNX1-Familial Platelet Disorder;;Myeloid Malignancy,True,RUNX1-Familial Platelet Disorder;;Myeloid Malignancy;;Clonal Hematopoiesis,,5,74,1,0.35,False,False,,,No comparison
147495,The Burden Of Sickle Cell Disease (Scd) On Patients In Ghana And Nigeria Compared With Other Low-/Middle-Income And High-Income Countries: Results From The Sickle Cell World Assessment Survey (Sway),Sickle Cell Disease,Sickle Cell Disease,True,Sickle Cell Disease,,3,19,1,0.25,False,False,,,No comparison
262190,"Nemtabrutinib (Mk-1026), A Non-Covalent Inhibitor Of Wild-Type And C481S Mutated Bruton Tyrosine Kinase For B-Cell Malignancies: Efficacy And Safety Of The Phase 2 Dose-Expansion Bellwave-001 Study",Chronic lymphocytic leukemia and related disorders - Clinical,B-Cell Malignancy,True,Wild-Type Bruton Tyrosine Kinase B-Cell Malignancy;;C481S-Mutated Bruton Tyrosine Kinase B-Cell Malignancy,,11,106,0,0.55,False,False,,,No comparison
327727,The Expression of mi-RNAs Involved in the Hematopoietic Niche Microenvironment in Newly Diagnosed AML Patients,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Newly Diagnosed Acute Myeloid Leukemia,True,Newly Diagnosed Acute Myeloid Leukemia,,5,38,3,0.55,False,False,,,No comparison
327732,Tandem Duplications of the UBTF gene in Adult AML: A Rare but Recurrent Alteration Associated with Myelodysplasia and Poor Outcome,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Adult Acute Myeloid Leukemia,True,Adult UBTF Tandem Duplication Acute Myeloid Leukemia,,7,52,2,0.55,True,False,,,No comparison
147508,Belumosudil For Chronic Graft-Versus Host Disease After 2 Or More Prior Lines Of Therapy: The Rockstar Study (Kd025-213),Stem Cell Transplantation - Clinical,Chronic Graft-Versus Host Disease,True,Chronic Graft-Versus Host Disease,,4,33,2,0.4,False,False,,,No comparison
147511,Narsoplimab (Oms721) Treatment Contributes To Improvements In Organ Function In Adult Patients With High-Risk Transplant-Associated Thrombotic Microangiopathy,Stem Cell Transplantation - Clinical,,True,Adult High-Risk Transplant-Associated Thrombotic Microangiopathy,,5,64,0,0.25,False,False,,,No comparison
213047,Parkinson's Disease and the Impact on Urologic Health in Older Adults,Geriatric Urological Society (GUS),Elderly Parkinson's Disease,True,Older Adult Parkinson's Disease,,4,31,1,0.30000000000000004,False,False,,,No comparison
327741,Intensive Therapy for NPM1 Mutant AML Patients: Negative Impact of FLT3-ITDhighbut Not FLT3-ITDlow and FLT3-TKD and Role of Transplant in Patients over 60 Years of Age,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",NPM1-Mutant Acute Myeloid Leukemia,True,NPM1-Mutated Acute Myeloid Leukemia;;FLT3-ITD-High Acute Myeloid Leukemia;;FLT3-ITD-Low Acute Myeloid Leukemia;;FLT3-TKD-Mutated Acute Myeloid Leukemia;;Elderly Acute Myeloid Leukemia,,16,183,2,1.0,True,False,,,No comparison
180285,Predictors of Efficacy in Chinese Patients with Severe Aplastic Anemia Treated with Eltrombopag and Intensive Immunosupressive Therapy,Bone Marrow Failure: Poster I,Severe Aplastic Anemia,True,Severe Aplastic Anemia,,3,22,1,0.25,False,False,,,No comparison
294973,Changing GEC Patient Care with IO plus Chemotherapy in First-Line,MSD - Navigating through the rapidly evolving treatment landscape for GI Cancers - A Clinical & Patient Centric Approach towards implementing Immunotherapy,First-Line Gastrointestinal Cancer,True,First-Line Gastroesophageal Cancer,,3,34,1,0.25,False,False,,,No comparison
262206,Bosutinib Dose Optimization In The Second-Line Treatment Of Elderly Cml Patients: Extended 3-Year Follow-Up And Final Results Of The Best Study,Chronic myeloid leukemia - Clinical,Second-Line Elderly Chronic Myeloid Leukemia,True,Second-Line Elderly Chronic Myeloid Leukemia,,5,44,2,0.45,False,False,,,No comparison
147521,Thrombophilia As Risk Factor For Asparaginase Related Venous Thromboembolism In Pediatric And Young Adult Patients Affected By Acute Lymphoblastic Leukemia,Thrombosis And Vascular Biology - Biology & Translational Research,Pediatric Young Adult Venous Thromboembolism,True,Pediatric Acute Lymphoblastic Leukemia;;Young Adult Acute Lymphoblastic Leukemia,,8,80,2,0.6000000000000001,False,False,,,No comparison
393283,"A Phase I Study Of Safety, Pharmacokinetics, And Pharmacodynamics Of Scr-6920, A Protein Arginine Methyltransferase 5(Prmt5) Inhibitor, In Patients With Advanced Malignant Tumors",Developmental Therapeutics,Advanced Malignant Tumor,True,Advanced Malignant Tumor,,3,24,2,0.35,False,False,,,No comparison
262209,Real-Life Outcomes Of Ponatinib Treatment In Patients With Chronic Myeloid Leukemia (Cml) Or Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+All): 5-Year-Data From A Belgian Registry,Chronic myeloid leukemia - Clinical,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia,True,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia,,7,77,4,0.75,False,False,,,No comparison
180298,"Pozelimab, a Human Monoclonal Antibody Against Complement Factor C5, Provided Inhibition of Intravascular Hemolysis in Patients with Paroxysmal Nocturnal Hemoglobinuria",Bone Marrow Failure: Poster I,Paroxysmal Nocturnal Hemoglobinuria,True,Paroxysmal Nocturnal Hemoglobinuria,,3,35,0,0.15,False,False,,,No comparison
393291,"Preclinical Evaluation Of Hlx42, A Novel Egfr-Targeting Adc, For Cetuximab Or Tki Resistant Cancer",Developmental Therapeutics,Cancer,True,Cancer,,1,6,1,0.15000000000000002,False,False,,,No comparison
