abstract_id,session_title,abstract_title,ground_truth,expected_indication,litellm_gemini_indication_response,litellm_gemini_success,litellm_gemini_selected_source,litellm_gemini_confidence_score,litellm_gemini_reasoning,litellm_gemini_rules_retrieved,litellm_gemini_components_identified,litellm_gemini_quality_metrics_completeness,litellm_gemini_quality_metrics_rule_adherence,litellm_gemini_quality_metrics_clinical_accuracy,litellm_gemini_quality_metrics_formatting_compliance,litellm_gemini_llm_calls
147461,Myeloma And Other Monoclonal Gammopathies - Clinical,Depth Of Response And Mrd Status In Ultra High-Risk Myeloma And Plasma Cell Leukemia Treated With Dara-Cvrd And Augmented Autologous Transplant: Results Of The Risk-Stratified Uk Optimum/Muknine Trial,Ultra High-Risk;;Myeloma;;Plasma Cell Leukemia,Ultra High-Risk Myeloma;;Plasma Cell Leukemia,Ultra High-Risk Myeloma and Plasma Cell Leukemia,True,abstract_title,0.98,The indication is explicitly stated in the abstract title as the target condition for the treatment (Dara-Cvrd and Augmented Autologous Transplant). The text specifies 'Ultra High-Risk Myeloma' and 'Plasma Cell Leukemia'.,"[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""Applied Title Case rule: Capitalized significant words and lowercased conjunctions (and).""}, {""category"": ""Common Check points"", ""subcategories"": [""General""], ""reason"": ""Verified Singular rule: Terms are already in singular form (Myeloma, Leukemia).""}]","[{""component"": ""Ultra High-Risk Myeloma"", ""type"": ""Disease Subtype"", ""normalized_form"": ""Ultra High-Risk Myeloma"", ""rule_applied"": ""Preserved risk stratification modifier as per text; applied Title Case.""}, {""component"": ""Plasma Cell Leukemia"", ""type"": ""Disease"", ""normalized_form"": ""Plasma Cell Leukemia"", ""rule_applied"": ""Extracted as distinct entity; applied Title Case.""}]",1.0,1.0,1.0,1.0,0
147482,Myeloproliferative Neoplasms - Clinical,Overall And Progression-Free Survival In Patients Treated With Fedratinib As First-Line Myelofibrosis (Mf) Therapy And After Prior Ruxolitinib (Rux): Results From The Jakarta And Jakarta2 Trials,First-Line;;Myelofibrosis,First-Line Myelofibrosis,Myelofibrosis,True,Overall And Progression-Free Survival In Patients Treated With Fedratinib As First-Line Myelofibrosis (Mf) Therapy And After Prior Ruxolitinib (Rux): Results From The Jakarta And Jakarta2 Trials,0.95,"The abstract title explicitly mentions 'Myelofibrosis (Mf)' as the target condition for the therapy. The term 'Myeloproliferative Neoplasms' in the session title is a broader category, but the specific indication studied is Myelofibrosis. Abbreviations like '(Mf)' and '(Rux)' are removed. Line of therapy details ('First-Line', 'After Prior Ruxolitinib') are excluded to extract the core medical indication. The output follows Title Case and Singular rules.","[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""To ensure the indication is formatted in Title Case.""}, {""category"": ""Common Check points"", ""subcategories"": [""General""], ""reason"": ""To ensure the indication is in the singular form.""}]","[{""component"": ""Myelofibrosis"", ""type"": ""Disease"", ""normalized_form"": ""Myelofibrosis"", ""rule_applied"": ""Extracted specific disease term, converted to Title Case""}, {""component"": ""(Mf)"", ""type"": ""Abbreviation"", ""normalized_form"": """", ""rule_applied"": ""Removed abbreviation""}]",1.0,1.0,1.0,1.0,0
180260,"Clonal Hematopoiesis, Aging and Inflammation: Poster I",Genomic Landscape of RUNX1-Familial Platelet Disorder with Myeloid Malignancies Reveals Rising Clonal Hematopoiesis,RUNX1-Familial Platelet Disorder;;Myeloid Malignancies,RUNX1-Familial Platelet Disorder;;Myeloid Malignancy,RUNX1-Familial Platelet Disorder with Myeloid Malignancy,True,RUNX1-Familial Platelet Disorder with Myeloid Malignancies,0.95,The specific condition identified is 'RUNX1-Familial Platelet Disorder with Myeloid Malignancies'. Following standard formatting rules: 1. 'RUNX1' is preserved as a gene symbol. 2. 'Familial Platelet Disorder' is kept in Title Case. 3. The preposition 'with' is lowercased. 4. The plural 'Malignancies' is converted to the singular 'Malignancy' based on general singularization rules.,"[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""Title case applied; 'RUNX1' preserved as gene symbol; 'with' lowercased.""}, {""category"": ""Common Check points"", ""subcategories"": [""General""], ""reason"": ""Singularization rule applied to convert 'Malignancies' to 'Malignancy'.""}]","[{""component"": ""RUNX1"", ""type"": ""Gene Symbol"", ""normalized_form"": ""RUNX1"", ""rule_applied"": ""Preserve Acronyms/Gene Symbols""}, {""component"": ""Familial Platelet Disorder"", ""type"": ""Disease Name"", ""normalized_form"": ""Familial Platelet Disorder"", ""rule_applied"": ""Title Case""}, {""component"": ""with"", ""type"": ""Preposition"", ""normalized_form"": ""with"", ""rule_applied"": ""Lowercase Prepositions""}, {""component"": ""Myeloid Malignancies"", ""type"": ""Disease Class"", ""normalized_form"": ""Myeloid Malignancy"", ""rule_applied"": ""Singularization""}]",1.0,1.0,0.98,1.0,0
147495,Sickle Cell Disease,The Burden Of Sickle Cell Disease (Scd) On Patients In Ghana And Nigeria Compared With Other Low-/Middle-Income And High-Income Countries: Results From The Sickle Cell World Assessment Survey (Sway),Sickle Cell Disease,Sickle Cell Disease,Sickle Cell Disease,True,abstract_title,0.98,The abstract title explicitly states 'The Burden Of Sickle Cell Disease (Scd)'. 'Sickle Cell Disease' is the primary medical condition. The extracted term is formatted in Title Case according to the retrieved Casing rule. Demographic information ('Patients In Ghana And Nigeria') and survey names ('Sickle Cell World Assessment Survey') are excluded as they do not constitute the clinical indication itself.,"[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""Applied Rule 1 (ID: 7): Convert finalized medical-indication phrase to Title Case (capitalize the first letter of each clinically significant word).""}, {""category"": ""Common Check points"", ""subcategories"": [""General""], ""reason"": ""Applied Rule 2 (ID: 8): Ensure the indication is in the Singular form (though input was already singular, rule verifies compliance).""}]","[{""component"": ""Sickle Cell Disease"", ""type"": ""Disease Name"", ""normalized_form"": ""Sickle Cell Disease"", ""rule_applied"": ""Title Case Conversion""}, {""component"": ""Scd"", ""type"": ""Abbreviation"", ""normalized_form"": ""Sickle Cell Disease"", ""rule_applied"": ""Abbreviation Resolution""}]",1.0,1.0,1.0,1.0,0
262190,Chronic lymphocytic leukemia and related disorders - Clinical,"Nemtabrutinib (Mk-1026), A Non-Covalent Inhibitor Of Wild-Type And C481S Mutated Bruton Tyrosine Kinase For B-Cell Malignancies: Efficacy And Safety Of The Phase 2 Dose-Expansion Bellwave-001 Study",B-Cell Malignancies,B-Cell Malignancy,B-Cell Malignancy,True,Abstract Title,0.98,"The indication was extracted from the abstract title phrase 'For B-Cell Malignancies'. According to the retrieved rules, the indication was normalized to the singular form ('Malignancies' to 'Malignancy') and formatted in Title Case ('B-Cell Malignancy').","[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""To apply Title Case formatting, capitalizing clinically significant words (e.g., 'B-Cell Malignancy').""}, {""category"": ""Common Check points"", ""subcategories"": [""General""], ""reason"": ""To convert plural disease terms (e.g., 'Malignancies') to their clinically accepted singular forms.""}]","[{""component"": ""B-Cell Malignancies"", ""type"": ""Disease"", ""normalized_form"": ""B-Cell Malignancy"", ""rule_applied"": ""Singularization and Title Case""}]",1.0,1.0,1.0,1.0,0
327727,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",The Expression of mi-RNAs Involved in the Hematopoietic Niche Microenvironment in Newly Diagnosed AML Patients,Newly Diagnosed;;AML,Newly Diagnosed Acute Myeloid Leukemia,Newly diagnosed acute myeloid leukemia,True,abstract_title,0.98,The abstract title specifically mentions 'Newly Diagnosed AML Patients'. The abbreviation AML is expanded to Acute Myeloid Leukemia. The term 'Patients' is excluded based on standard indication extraction rules. The indication is formatted in sentence case.,"[{""category"": ""Disease/Condition"", ""subcategories"": [""Acronyms"", ""General""], ""reason"": ""To expand 'AML' to 'Acute myeloid leukemia' and verify standard disease nomenclature.""}, {""category"": ""Patient Sub-Group"", ""subcategories"": [""General"", ""Line of Therapy""], ""reason"": ""To identify and retain 'Newly diagnosed' as a critical modifier of the indication.""}, {""category"": ""Common Check points"", ""subcategories"": [""Casing"", ""Cleanup""], ""reason"": ""To apply sentence casing and remove the word 'Patients'.""}]","[{""component"": ""Newly Diagnosed"", ""type"": ""Line of Therapy / Condition Status"", ""normalized_form"": ""Newly diagnosed"", ""rule_applied"": ""Retain modifier""}, {""component"": ""AML"", ""type"": ""Disease"", ""normalized_form"": ""acute myeloid leukemia"", ""rule_applied"": ""Expand acronym""}, {""component"": ""Patients"", ""type"": ""Population"", ""normalized_form"": """", ""rule_applied"": ""Remove stop word""}]",1.0,1.0,1.0,1.0,0
327732,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Tandem Duplications of the UBTF gene in Adult AML: A Rare but Recurrent Alteration Associated with Myelodysplasia and Poor Outcome,Adult;;AML,Adult Acute Myeloid Leukemia,Adult Acute Myeloid Leukemia,True,abstract_title,0.96,The abstract title explicitly identifies 'Adult AML' as the condition being studied. The abbreviation 'AML' is expanded to 'Acute Myeloid Leukemia' for standard clinical representation. The term 'Adult' is retained as it defines the specific patient population. The formatting follows the retrieved Title Case rule.,"[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""Convert finalized medical-indication phrase to Title Case (capitalize first letter of clinically significant words).""}]","[{""component"": ""Adult"", ""type"": ""Patient Sub-Group"", ""normalized_form"": ""Adult"", ""rule_applied"": ""Clinical specificity retention""}, {""component"": ""AML"", ""type"": ""Disease"", ""normalized_form"": ""Acute Myeloid Leukemia"", ""rule_applied"": ""Abbreviation expansion""}]",1.0,1.0,1.0,1.0,0
147508,Stem Cell Transplantation - Clinical,Belumosudil For Chronic Graft-Versus Host Disease After 2 Or More Prior Lines Of Therapy: The Rockstar Study (Kd025-213),Chronic;;Graft-Versus Host Disease,Chronic Graft-Versus Host Disease,Chronic Graft-Versus Host Disease After 2 or More Prior Lines of Therapy,True,abstract_title,0.95,"The indication is explicitly stated in the abstract title as 'Chronic Graft-Versus Host Disease After 2 Or More Prior Lines Of Therapy'. The drug name 'Belumosudil' and the study name 'The Rockstar Study' are excluded. The text is normalized to Title Case, ensuring conjunctions and prepositions are lowercase (e.g., 'or', 'of').","[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""Used to apply Title Case formatting to the extracted indication.""}, {""category"": ""Common Check points"", ""subcategories"": [""General""], ""reason"": ""Used to ensure singular formatting where applicable.""}]","[{""component"": ""Chronic Graft-Versus Host Disease"", ""type"": ""Disease"", ""normalized_form"": ""Chronic Graft-Versus Host Disease"", ""rule_applied"": ""Title Case""}, {""component"": ""After 2 Or More Prior Lines Of Therapy"", ""type"": ""Patient Sub-Group"", ""normalized_form"": ""After 2 or More Prior Lines of Therapy"", ""rule_applied"": ""Title Case""}]",1.0,1.0,1.0,1.0,0
147511,Stem Cell Transplantation - Clinical,Narsoplimab (Oms721) Treatment Contributes To Improvements In Organ Function In Adult Patients With High-Risk Transplant-Associated Thrombotic Microangiopathy,,,High-risk transplant-associated thrombotic microangiopathy,True,Abstract Title,0.95,The indication is explicitly stated in the abstract title as the condition being treated by Narsoplimab. The phrase 'High-Risk Transplant-Associated Thrombotic Microangiopathy' represents the specific disease state. 'Adult Patients' indicates the population but is typically secondary to the disease name in indication headers unless the indication is exclusively restricted.,"[{""category"": ""Common Check points"", ""subcategories"": [""Casing"", ""General""], ""reason"": ""To standardize capitalization to sentence case and verify general formatting requirements.""}, {""category"": ""Patient Sub-Group"", ""subcategories"": [""Age group""], ""reason"": ""To evaluate whether the demographic 'Adult Patients' should be part of the primary indication string.""}]","[{""component"": ""High-Risk"", ""type"": ""Severity Modifier"", ""normalized_form"": ""High-risk"", ""rule_applied"": ""Sentence casing for modifiers""}, {""component"": ""Transplant-Associated Thrombotic Microangiopathy"", ""type"": ""Disease"", ""normalized_form"": ""transplant-associated thrombotic microangiopathy"", ""rule_applied"": ""Sentence casing for disease names""}]",1.0,1.0,1.0,1.0,0
213047,Geriatric Urological Society (GUS),Parkinson's Disease and the Impact on Urologic Health in Older Adults,Parkinson's Disease;;Older Adults,Elderly Parkinson's Disease,Parkinson's Disease,True,abstract_title,0.95,"The abstract title explicitly names 'Parkinson's Disease' as the primary medical condition. The phrase 'Impact on Urologic Health' describes the study's focus/outcome rather than the indication itself. The demographic term 'Older Adults' is excluded from the indication string as per patient subgroup exclusion rules, unless it constitutes a specific disease subtype.","[{""category"": ""Common Check points"", ""subcategories"": [""Casing""], ""reason"": ""Convert every finalized medical-indication phrase to Title Case\u2014capitalize the first letter of each clinically significant word.""}, {""category"": ""Patient Sub-Group"", ""subcategories"": [""Geriatric""], ""reason"": ""Demographic descriptors such as 'Older Adults' are generally excluded from the indication unless they are part of a fixed disease name.""}]","[{""component"": ""Parkinson's Disease"", ""type"": ""Disease"", ""normalized_form"": ""Parkinson's Disease"", ""rule_applied"": ""Title Case""}, {""component"": ""Older Adults"", ""type"": ""Patient Subgroup"", ""normalized_form"": ""Geriatric"", ""rule_applied"": ""Exclude Patient Subgroup""}]",1.0,1.0,1.0,1.0,0
