abstract_id,session_title,abstract_title
719267,Oral Abstract Session A: Prostate Cancer,Final overall survival results from the EORTC 1333/PEACE-3 trial: Enzalutamide with or without radium-223 in metastatic castration-resistant prostate cancer.
719268,Oral Abstract Session A: Prostate Cancer,"Overall survival from the phase 2 trial of abiraterone, olaparib, or abiraterone + olaparib in first-line metastatic castration-resistant prostate cancer (mCRPC) with DNA repair defects (BRCAAway)."
719269,Oral Abstract Session A: Prostate Cancer,Hormone therapy use and duration with post-operative radiotherapy for recurrent prostate cancer: An individual patient data meta-analysis.
719270,Oral Abstract Session A: Prostate Cancer,Fifteen-year survival analysis from the ASCENDE-RT randomized trial of external beam boost versus brachytherapy boost in localized prostate cancer.
719271,Trials in Progress Poster Session A: Prostate Cancer,Improving delivery of prostate cancer germline testing at the Department of Veterans Affairs: A cluster-randomized trial.
719272,"Treatment Selection, Response Assessment, and Monitoring Across the Spectrum of Advanced Prostate Cancer",Patient reported outcomes (PRO) and tolerability of capivasertib (capi) plus abiraterone (abi) versus placebo (pbo) plus abi in patients (pts) with PTEN-deficient metastatic hormone-sensitive prostate cancer (mHSPC): CAPItello-281.
719273,Trials in Progress Poster Session A: Prostate Cancer,"SOLACE: A phase 1 pharmacokinetic, dosimetry, safety, and dose optimization study for a single dose of 153Sm-DOTMP to treat metastatic bone pain."
719274,Trials in Progress Poster Session A: Prostate Cancer,Intermittent fasting in prostate cancer patients receiving androgen deprivation therapy.
719275,Trials in Progress Poster Session A: Prostate Cancer,"Triplet therapy with ADT, darolutamide, and biweekly docetaxel for high-risk metastatic castration-sensitive prostate cancer (TRIC): An open-label, single-arm phase II clinical trial."
719276,Trials in Progress Poster Session A: Prostate Cancer,A phase II study of luxdegalutamide in combination with abiraterone in adult patients with metastatic hormone-sensitive prostate cancer (mHSPC).
719277,Trials in Progress Poster Session A: Prostate Cancer,"Phase 1, dose-escalation study of KTX-2001 (an NSD2 inhibitor) alone and in combination with darolutamide for metastatic castration-resistant prostate cancer."
719278,Trials in Progress Poster Session A: Prostate Cancer,Precision diagnostics in prostate cancer treatment (PREDICT): A phase 2 multi-arm biomarker-based study (Alliance A032102).
719279,Trials in Progress Poster Session A: Prostate Cancer,Internet-based lifestyle intervention to eradicate obese frailty in prostate cancer survivors: The iLIVE trial.
719280,Trials in Progress Poster Session A: Prostate Cancer,AMPLIFY: A phase 3 study of 64Cu-SAR-bisPSMAÂ positron emission tomography in participants with biochemical recurrence of prostate cancer.
719281,Trials in Progress Poster Session A: Prostate Cancer,SPECTRA study: A phase II trial of supraphysiological androgen to enhance treatment activity with DNA-damaging agents in men with metastatic castration resistant prostate cancer (mCPRC).
719282,Trials in Progress Poster Session A: Prostate Cancer,Phase 2 expansion study of 212Pb-ADVC001 in metastatic prostate cancer: The TheraPb trial.
719283,Trials in Progress Poster Session A: Prostate Cancer,The LuxAR-02 phase II study of luxdegalutamide in combination with [177Lu]Lu-PSMA-617 in patients with prostate-specific membrane antigen (PSMA)â€“positive metastatic castration resistant prostate cancer (mCRPC).
719284,Trials in Progress Poster Session A: Prostate Cancer,A phase 1 study of docetaxel in combination with 177-lutetium-PSMA-I&amp;T in patients with metastatic castration-resistant prostate cancer.
719285,Trials in Progress Poster Session A: Prostate Cancer,Dynamic investigator initiated enterprise (DIVINE) in prostate cancer: Randomized phase II trial of stereotactic body radiotherapy with or without short-course androgen deprivation and AR pathway inhibition in oligometastatic castration-sensitive prostate cancer.
719286,Trials in Progress Poster Session A: Prostate Cancer,MEVPRO-3: Phase III trial of mevrometostat plus enzalutamide (versus placebo plus enzalutamide) in metastatic castration-sensitive prostate cancer (mCSPC).
719287,Trials in Progress Poster Session A: Prostate Cancer,A study of GSK5458514 administered alone or in combination with other anticancer agents in patients with prostate cancer.
719288,Trials in Progress Poster Session A: Prostate Cancer,ASPIRE: A randomized phase III trial of androgen deprivation therapy (ADT) plus apalutamide (A) with or without docetaxel (D) in metastatic castration-sensitive prostate cancer (mCSPC) stratified by tumor suppressor gene alterations (Alliance A032302).
719289,Trials in Progress Poster Session A: Prostate Cancer,Phase 1 dose escalation and expansion of AB001 in patients with metastatic castration resistant prostate cancer (mCRPC): The ARTISAN trial.
719290,Trials in Progress Poster Session A: Prostate Cancer,"OPTIMAS: A phase II randomized, decentralized, de-escalation trial in patients (pts) with metastatic hormone-sensitive prostate cancer (mHSPC) achieving optimal PSA response."
719291,Trials in Progress Poster Session A: Prostate Cancer,"ProTACT: A first-in-human, phase 1 dose escalation and expansion study evaluating the safety, tolerability, and anti-tumor activity of [225Ac]Ac-FL-020, an anti-PSMA radioconjugate in patients with mCRPC."
719292,Trials in Progress Poster Session A: Prostate Cancer,Dose optimisation and PSMA receptor intensification with 177Lu-PSMA-597 in metastatic castration-resistant prostate cancer (mCRPC): The randomised phase II OPTIMAL-PSMA trial.
719293,Trials in Progress Poster Session A: Prostate Cancer,A phase II study of lutetium-177 DOTATATE in metastatic prostate cancer with neuroendocrine differentiation.
719294,Trials in Progress Poster Session A: Prostate Cancer,Nezastomig (anti-PSMAÃ—CD28) with or without cemiplimab (antiâ€“PD-1) in patients with metastatic castration-resistant prostate cancer (mCRPC) or metastatic clear cell renal cell carcinoma (mccRCC): A phase 1/2 study.
719295,Trials in Progress Poster Session A: Prostate Cancer,A pragmatic phase 2 trial of locally ablative therapy in oligo-progressive genitourinary (GU) tumors: LAYOVER
