abstract_id,abstract_title,session_title,ground_truth,approach_1_success,approach_1_indication,approach_1_confidence,approach_1_word_count,approach_1_length,approach_1_clinical_terms,approach_1_complexity,approach_1_has_abbreviations,approach_1_has_parentheses,approach_1_error,inter_model_avg_similarity,inter_model_consensus,similarity_o3_vs_Gemini-2.5-pro,approach_1_indication_response
147495,The Burden Of Sickle Cell Disease (Scd) On Patients In Ghana And Nigeria Compared With Other Low-/Middle-Income And High-Income Countries: Results From The Sickle Cell World Assessment Survey (Sway),Sickle Cell Disease,Sickle Cell Disease,True,Sickle Cell Disease,0.98,3,19,1,0.25,False,False,,1.0,High,1.0,Sickle Cell Disease
213047,Parkinson's Disease and the Impact on Urologic Health in Older Adults,Geriatric Urological Society (GUS),Elderly Parkinson's Disease,True,Older Adult Parkinson's Disease,0.98,4,31,1,0.3,False,False,,1.0,High,1.0,Older Adult Parkinson's Disease
294973,Changing GEC Patient Care with IO plus Chemotherapy in First-Line,MSD - Navigating through the rapidly evolving treatment landscape for GI Cancers - A Clinical & Patient Centric Approach towards implementing Immunotherapy,First-Line Gastrointestinal Cancer,True,First-Line Gastroesophageal Cancer,0.98,3,34,1,0.25,False,False,,1.0,High,1.0,First-Line Gastroesophageal Cancer
147511,Narsoplimab (Oms721) Treatment Contributes To Improvements In Organ Function In Adult Patients With High-Risk Transplant-Associated Thrombotic Microangiopathy,Stem Cell Transplantation - Clinical,,True,Adult High-Risk Transplant-Associated Thrombotic Microangiopathy,0.98,5,64,0,0.25,False,False,,1.0,High,1.0,Adult High-Risk Transplant-Associated Thrombotic Microangiopathy
180285,Predictors of Efficacy in Chinese Patients with Severe Aplastic Anemia Treated with Eltrombopag and Intensive Immunosupressive Therapy,Bone Marrow Failure: Poster I,Severe Aplastic Anemia,True,Severe Aplastic Anemia,0.98,3,22,1,0.25,False,False,,1.0,High,1.0,Severe Aplastic Anemia
327727,The Expression of mi-RNAs Involved in the Hematopoietic Niche Microenvironment in Newly Diagnosed AML Patients,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Newly Diagnosed Acute Myeloid Leukemia,True,Newly Diagnosed AML,1.0,3,19,1,0.25,True,False,,0.666666667,Moderate,0.666666667,Newly Diagnosed AML
393216,"Surgical Quality For Patients (Pts) Treated With Neoadjuvant Chemotherapy Vs Chemoradiation For Locally Advanced Rectal Cancer (Larc): Prospect (Ncctg N1048, Alliance)",Colorectal Cancer,Locally Advanced Rectal Cancer,True,Locally Advanced Rectal Cancer,0.99,4,30,2,0.4,False,False,,1.0,High,1.0,Locally Advanced Rectal Cancer
147461,Depth Of Response And Mrd Status In Ultra High-Risk Myeloma And Plasma Cell Leukemia Treated With Dara-Cvrd And Augmented Autologous Transplant: Results Of The Risk-Stratified Uk Optimum/Muknine Trial,Myeloma And Other Monoclonal Gammopathies - Clinical,Ultra High-Risk Myeloma;;Plasma Cell Leukemia,True,Ultra High-Risk Myeloma;;Ultra High-Risk Plasma Cell Leukemia,0.98,7,61,2,0.55,False,False,,1.0,High,1.0,Ultra High-Risk Myeloma;;Ultra High-Risk Plasma Cell Leukemia
393219,"Effectiveness And Safety Of Rectal Arterial Infusion Chemotherapy Combined With Anti-Pd1 Antibody For Microsatellite Stable Locally Advanced Rectal Cancer: Early Outcome Report Of A Two-Stage, Single Armed, Phase II Study (Raic)",Colorectal Cancer,Microsatellite Stable Locally Advanced Rectal Cancer,True,Microsatellite Stable Locally Advanced Rectal Cancer,0.98,6,52,2,0.5,False,False,,1.0,High,1.0,Microsatellite Stable Locally Advanced Rectal Cancer
180260,Genomic Landscape of RUNX1-Familial Platelet Disorder with Myeloid Malignancies Reveals Rising Clonal Hematopoiesis,"Clonal Hematopoiesis, Aging and Inflammation: Poster I",RUNX1-Familial Platelet Disorder;;Myeloid Malignancy,True,RUNX1-Familial Platelet Disorder with Myeloid Malignancies,0.98,6,58,1,0.4,False,False,,1.0,High,1.0,RUNX1-Familial Platelet Disorder with Myeloid Malignancies
