abstract_id,abstract_title,session_title,ground_truth,approach_2_success,approach_2_indication,approach_2_confidence,approach_2_word_count,approach_2_length,approach_2_clinical_terms,approach_2_complexity,approach_2_has_abbreviations,approach_2_has_parentheses,approach_2_error,inter_model_avg_similarity,inter_model_consensus,approach_2_indication_response
393216,"Surgical Quality For Patients (Pts) Treated With Neoadjuvant Chemotherapy Vs Chemoradiation For Locally Advanced Rectal Cancer (Larc): Prospect (Ncctg N1048, Alliance)",Colorectal Cancer,Locally Advanced Rectal Cancer,True,Locally Advanced Rectal Cancer,0.95,4,30,2,0.4,False,False,,,No comparison,Locally Advanced Rectal Cancer
393219,"Effectiveness And Safety Of Rectal Arterial Infusion Chemotherapy Combined With Anti-Pd1 Antibody For Microsatellite Stable Locally Advanced Rectal Cancer: Early Outcome Report Of A Two-Stage, Single Armed, Phase II Study (Raic)",Colorectal Cancer,Microsatellite Stable Locally Advanced Rectal Cancer,True,Microsatellite Stable Locally Advanced Rectal Cancer,0.95,6,52,2,0.5,False,False,,,No comparison,Microsatellite Stable Locally Advanced Rectal Cancer
147461,Depth Of Response And Mrd Status In Ultra High-Risk Myeloma And Plasma Cell Leukemia Treated With Dara-Cvrd And Augmented Autologous Transplant: Results Of The Risk-Stratified Uk Optimum/Muknine Trial,Myeloma And Other Monoclonal Gammopathies - Clinical,Ultra High-Risk Myeloma;;Plasma Cell Leukemia,True,Ultra High-Risk Myeloma;;Plasma Cell Leukemia,0.95,5,45,2,0.45,False,False,,,No comparison,Ultra High-Risk Myeloma;;Plasma Cell Leukemia
147482,Overall And Progression-Free Survival In Patients Treated With Fedratinib As First-Line Myelofibrosis (Mf) Therapy And After Prior Ruxolitinib (Rux): Results From The Jakarta And Jakarta2 Trials,Myeloproliferative Neoplasms - Clinical,First-Line Myelofibrosis,True,First-Line Myelofibrosis;;Previously Treated Myelofibrosis,0.95,4,58,1,0.3,False,False,,,No comparison,First-Line Myelofibrosis;;Previously Treated Myelofibrosis
180260,Genomic Landscape of RUNX1-Familial Platelet Disorder with Myeloid Malignancies Reveals Rising Clonal Hematopoiesis,"Clonal Hematopoiesis, Aging and Inflammation: Poster I",RUNX1-Familial Platelet Disorder;;Myeloid Malignancy,True,RUNX1-Familial Platelet Disorder;;Myeloid Malignancy;;Clonal Hematopoiesis,0.95,5,74,1,0.35,False,False,,,No comparison,RUNX1-Familial Platelet Disorder;;Myeloid Malignancy;;Clonal Hematopoiesis
147495,The Burden Of Sickle Cell Disease (Scd) On Patients In Ghana And Nigeria Compared With Other Low-/Middle-Income And High-Income Countries: Results From The Sickle Cell World Assessment Survey (Sway),Sickle Cell Disease,Sickle Cell Disease,True,Sickle Cell Disease,0.95,3,19,1,0.25,False,False,,,No comparison,Sickle Cell Disease
262190,"Nemtabrutinib (Mk-1026), A Non-Covalent Inhibitor Of Wild-Type And C481S Mutated Bruton Tyrosine Kinase For B-Cell Malignancies: Efficacy And Safety Of The Phase 2 Dose-Expansion Bellwave-001 Study",Chronic lymphocytic leukemia and related disorders - Clinical,B-Cell Malignancy,True,BTK Wild Type B-Cell Malignancy;;BTK C481S-Mutated B-Cell Malignancy,0.95,8,68,0,0.4,True,False,,,No comparison,BTK Wild Type B-Cell Malignancy;;BTK C481S-Mutated B-Cell Malignancy
327727,The Expression of mi-RNAs Involved in the Hematopoietic Niche Microenvironment in Newly Diagnosed AML Patients,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Newly Diagnosed Acute Myeloid Leukemia,True,Newly Diagnosed Acute Myeloid Leukemia,0.95,5,38,3,0.55,False,False,,,No comparison,Newly Diagnosed Acute Myeloid Leukemia
327732,Tandem Duplications of the UBTF gene in Adult AML: A Rare but Recurrent Alteration Associated with Myelodysplasia and Poor Outcome,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Adult Acute Myeloid Leukemia,True,Adult Acute Myeloid Leukemia;;Myelodysplasia,0.95,4,44,2,0.4,False,False,,,No comparison,Adult Acute Myeloid Leukemia;;Myelodysplasia
147508,Belumosudil For Chronic Graft-Versus Host Disease After 2 Or More Prior Lines Of Therapy: The Rockstar Study (Kd025-213),Stem Cell Transplantation - Clinical,Chronic Graft-Versus Host Disease,True,Chronic Graft-Versus Host Disease,0.95,4,33,2,0.4,False,False,,,No comparison,Chronic Graft-Versus Host Disease
147511,Narsoplimab (Oms721) Treatment Contributes To Improvements In Organ Function In Adult Patients With High-Risk Transplant-Associated Thrombotic Microangiopathy,Stem Cell Transplantation - Clinical,,True,Adult High-Risk Transplant-Associated Thrombotic Microangiopathy,0.95,5,64,0,0.25,False,False,,,No comparison,Adult High-Risk Transplant-Associated Thrombotic Microangiopathy
213047,Parkinson's Disease and the Impact on Urologic Health in Older Adults,Geriatric Urological Society (GUS),Elderly Parkinson's Disease,True,Elderly Parkinson's Disease,0.95,3,27,1,0.25,False,False,,,No comparison,Elderly Parkinson's Disease
