ID,Category,Sub_Category,Keyword,Do_Dont,Action,Example_Input,Example_Output,Generated_Rule,Rule_Status
1,Priority Rules,Abstract Title Priority,Abstract Title Drug Class,✓,Prioritize drug class from abstract title over all other sources,"Drug: Drug A | Abstract title: Drug A, a CAR-T cell therapy | Extracted Content: Drug A is a PD-1 inhibitor",CAR-T Cell Therapy,"If the abstract title mentions a drug class for the given drug, that class must be prioritized over all others, including MoA. Capture only the drug class mentioned in the abstract title, ignore all classes (MoA, therapeutic, chemical, mode) from other sources, and do not derive or infer anything further.",Success
2,Priority Rules,MoA Priority,Mechanism of Action,✓,MoA has highest priority - capture only MoA when present; if multiple MoAs choose most specific or one appearing across multiple sources,Drug A is a selective PDL1 inhibitor. Drug A is also an antidepressant. | Drug B is a BRAF V600E inhibitor and also a kinase inhibitor.,PDL1-Inhibitor | BRAF V600E-Inhibitor,"If the extracted content or full abstract text mentions a Mechanism of Action (MoA), capture only the MoA and ignore all other classes (chemical, mode, therapeutic), even if they are also present. MoA examples include: PDL1-Inhibitor, FLAP Inhibitor, GLP-1 Agonist. If multiple MoAs appear, choose the most specific MoA OR the one appearing across multiple sources when several are equally specific.",Success
3,Priority Rules,Lower Priority Classes,Chemical/Mode/Therapeutic Class,**,Capture all available lower priority classes when MoA is absent,Drug C belongs to the thiazide chemical family. | Drug D acts as a bronchodilator. | Drug E is classified as an antidepressant. | Drug F is a thiazide diuretic with bronchodilator properties.,Thiazide | Bronchodilator | Antidepressant | Thiazide;;Bronchodilator,"If MoA is not mentioned in any source, capture all available classes among Chemical Class (e.g., Thiazide, Benzodiazepine), Mode of Action (e.g., Bronchodilator, Vasoconstrictor), and Therapeutic Class (e.g., Antidepressant, Anticancer) as separate elements in the drug_classes array, since they share equal priority.",Success
4,Formatting Rules,Casing,Title Case,✓,Maintain Title Case for drug class names; use uppercase for gene/cell names when content uses all caps,flt3 inhibitor,FLT3 Inhibitor,"Maintain Title Case for drug class names. Use uppercase for gene/cell names only when the content uses them in all caps. Examples: 'FLT3 Inhibitor', 'CD19 CAR-T Cell Therapy'. Maintain consistent capitalization and spelling. Gene symbols and biomarkers should follow standard nomenclature.",Success
5,Formatting Rules,Spacing,No Leading Trailing Space,✓,Remove leading and trailing spaces, PDL1-Inhibitor ,PDL1-Inhibitor,Ensure there is no leading or trailing space around the drug class tokens. Trim all whitespace from the beginning and end of each drug class string.,Success
6,Formatting Rules,Number,Singular Form,✓,Capture drug class names only in singular form,PD-1 Inhibitors,PD-1 Inhibitor,"Capture drug class names only in singular form (e.g., 'Antibody' not 'Antibodies', 'Inhibitor' not 'Inhibitors').",Success
7,Formatting Rules,Multiple Classes,Array Format,✓,Return multiple classes as separate strings in the array,Drug has two mechanisms: PD-1 inhibitor and CTLA-4 inhibitor.,"[""PD-1 Inhibitor"", ""CTLA-4 Inhibitor""]",Return multiple drug classes as separate strings in the drug_classes array. Each class should be a distinct element.,Success
8,Formatting Rules,Exact Wording,No Generalization,✓,Capture drug class exactly as written without generalizing subtypes,Drug A is a cytolytic antibody. | Drug B is a monoclonal antibody. ,Cytolytic Antibody | Monoclonal Antibody ,"Do not generalize or alter subtype wording. Capture the drug class, MoA, or subtype exactly as written in the provided content (after applying required formatting rules like Title Case and hyphenation). Examples: If source says 'cytolytic antibody', capture 'Cytolytic Antibody' — do not change to 'Antibody'. If source says 'monoclonal antibody', capture 'Monoclonal Antibody' — do not change to 'Antibody'.",Success
9,Target Formatting Rules,Hyphenation,Target-Modality Hyphenation,✓,Hyphenate target and modality; maintain original hyphenated root names,BM1 targeted therapy | BCR-ABL inhibitor,BM1-Targeted Therapy | BCR-ABL Inhibitor,"When formatting drug classes with targets, hyphenate the target and modality (e.g., 'BM1-Targeted Therapy' not 'BM1 Targeted Therapy'). Maintain original hyphenated root names when present in the source content (e.g., 'BCR-ABL Inhibitor' not 'BCRABL Inhibitor').",Success
10,Target Formatting Rules,Anti-X Conversion,Anti-X,✓,Convert Anti-X to X-Targeted Therapy or X-Targeted Antibody depending on modality,Drug is an anti-PD1 antibody.,PD1-Targeted Antibody,"If the content uses 'Anti-X' or 'anti-X' format, convert to 'X-Targeted Therapy' or 'X-Targeted Antibody' depending on the modality mentioned in the text.",Success
