Rule ID,Generated_Rule,Example_Input,Example_Output
1,"If the abstract title mentions a drug class for the given drug, that class must be prioritized over all others, including MoA. Capture only the drug class mentioned in the abstract title, ignore all classes (MoA, therapeutic, chemical, mode) from other sources, and do not derive or infer anything further.","Drug: Drug A | Abstract title: Drug A, a CAR-T cell therapy | Extracted Content: Drug A is a PD-1 inhibitor",CAR-T Cell Therapy
2,"If the abstract title mentions any drug class(es), capture all drug classes mentioned in the title as separate elements in the output, even if some or all of those classes are not explicitly linked to the primary drug. Do not ignore or merge classes that appear in the title; extract each one exactly as stated.","Abstract Title: Drug A and immune checkpoint inhibitor, shows improved outcomes|Extracted Content: Drug, a CD19 CAR-T cell therapy",CD19 CAR-T Cell Therapy | Immune Checkpoint Inhibitor
3,"Maintain Title Case for drug class names. Use uppercase for gene/cell names only when the content uses them in all caps. Examples: 'FLT3 Inhibitor', 'CD19 CAR-T Cell Therapy'. Maintain consistent capitalization and spelling. Gene symbols and biomarkers should follow standard nomenclature.",flt3 inhibitor,FLT3 Inhibitor
4,Ensure there is no leading or trailing space around the drug class tokens. Trim all whitespace from the beginning and end of each drug class string., PDL1-Inhibitor ,PDL1-Inhibitor
5,"Capture drug class names only in singular form (e.g., 'Antibody' not 'Antibodies', 'Inhibitor' not 'Inhibitors').",PD-1 Inhibitors,PD-1 Inhibitor
6,Return multiple drug classes as separate strings in the drug_classes array. Each class should be a distinct element.,Drug has two mechanisms: PD-1 inhibitor and CTLA-4 inhibitor.,"[""PD-1 Inhibitor"", ""CTLA-4 Inhibitor""]"
7,"Do not generalize or alter subtype wording. Capture the drug class, MoA, or subtype exactly as written in the provided content (after applying required formatting rules like Title Case and hyphenation). Examples: If source says 'cytolytic antibody', capture 'Cytolytic Antibody' — do not change to 'Antibody'. If source says 'monoclonal antibody', capture 'Monoclonal Antibody' — do not change to 'Antibody'.",Drug A is a cytolytic antibody. | Drug B is a monoclonal antibody. ,Cytolytic Antibody | Monoclonal Antibody 
8,"When formatting drug classes with targets, hyphenate the target and modality (e.g., 'BM1-Targeted Therapy' not 'BM1 Targeted Therapy'). Maintain original hyphenated root names when present in the source content (e.g., 'BCR-ABL Inhibitor' not 'BCRABL Inhibitor').",BM1 targeted therapy | BCR-ABL inhibitor,BM1-Targeted Therapy | BCR-ABL Inhibitor
9,"If the content uses 'Anti-X' or 'anti-X' format, convert to 'X-Targeted Therapy' or 'X-Targeted Antibody' depending on the modality mentioned in the text.",Drug is an anti-PD1 antibody.,PD1-Targeted Antibody
10,"If multiple targets are mentioned, list them alphabetically (e.g., 'CD3/CD20-Targeted T Cell Engager' not 'CD20/CD3-...').",Drug targets CD20 and CD3.,CD3/CD20-Targeted T Cell Engager
11,"Always include biological target when known, using the format TARGET-Modality or TARGET-Inhibitor (e.g., 'PDL1-Inhibitor', 'CTLA4-Targeted Antibody', 'CD19-Targeted CAR T Therapy').",Drug Y inhibits PDL1.,PDL1-Inhibitor
12,"For platform therapies like PROTAC or BITE (Bispecific T cell Engager), include platform + target (e.g., 'AR-Targeted PROTAC', 'CD3/CD20-Targeted Bispecific T-Cell Engager').",Drug Z is an AR-targeted PROTAC. | Drug AA is a CD3/CD20 bispecific T cell engager.,AR-Targeted PROTAC | CD3/CD20-Targeted Bispecific T-Cell Engager
