ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug
185,Beyond Classical Hodgkin Lymphoma: Long-Term Risks and Secondary Cancers-Insights from the Texas Cancer Registry,,,
289,Data Driven Research through the European RADeep Registry and the Use of Artificial Intelligence Towards Personalized Medicine in Sickle Cell Disease,,,
319,CSF3RT618I Is Stabilized By Calnexin and Induces Unfolded Protein Response (UPR) and ER-Phagy: A Pro-Survival Pathway for Oncogenic Misfolded CSF3R Proteins in Chronic Neutrophilic Leukemia (CNL),,,
335,"Updated Results from a Phase II Study Hyper-CVAD, with or without Inotuzumab Ozogamicin, and Sequential Blinatumomab in Patients with Newly Diagnosed B-Cell Acute Lymphoblastic Leukemia","Cyclophosphamide, Dexamethasone, Doxorubicin, Vincristine","Blinatumomab, Inotuzumab Ozogamicin",
340,Results of the ALL-IC REL 2016 Registry Trial: 1st Relapses of Childhood ALL Treated in High-Middle Income Countries,,,
408,Real World Data on the Utility of P-Selectin Expression Assay; Correlation of Test Results and Disease Expression,,,
450,"TP53, CD36 Mutations and CDKN2A Loss Predict Poor Outcome in Mantle Cell Lymphoma: Molecular Analysis of the FIL V-Rbac Phase 2 Trial",,,
503,Real World Evidence of Second Line Therapy in Relapsed/Refractory Large B Cell Lymphoma: Spanish Multicenter Geltamo Study,,,
514,Phase III Randomized COMMODORE 1 Trial: 2-Year Safety and Efficacy of Crovalimab in Patients with Paroxysmal Nocturnal Hemoglobinuria (PNH) Who Switched from Eculizumab,"Crovalimab, Eculizumab",Eculizumab,
620,Sequential Bruton Tyrosine Kinase Inhibitor Therapy in Relapsed or Refractory Mantle Cell Lymphoma Following Chemotherapy: Real-World Outcomes and Attrition Rates - an Updated Report from the Asia-Pacific Multinational Retrospective Registry,,,
641,"Real World Treatment Outcomes in the First Line Management of Waldenstrom Macroglobulinemia from the Global Patient Derived Data Registry, Whimsical",,,
671,Novel Targeted Agents in Combination with R-MINE (RMINE+X) Based on Different Molecular Subtypes in Relapsed/Refractory Diffuse Large B-Cell Lymphoma:a Phase 2 Multicenter Study,"Chidamide, Etoposide, Isophosphamide, Lenalidomide, Mitoxantrone Hydrochloride Liposome, Orelabrutinib, Penpulimab, Rituximab",,
691,"Updated Results from a Multicenter, Phase II Study of Zanubrutinib in Combination with Rituximab and Methotrexate, Followed By Zanubrutinib Maintenance in Patients with Secondary Central Nervous System Lymphoma","Methotrexate, Rituximab, Zanubrutinib",Zanubrutinib,
801,Adolescents and Young Adults (AYA) with Myeloproliferative Neoplasms (MPNs): Analysis of Patient Outcomes and Impact of High-Molecular Risk Mutations,,,
919,Gene Therapy for Artemis-SCID and Artemis-Leaky-SCID Patients: Preliminary Results of the French Artegene Phase I/II Clinical Trial,,,
968,Age Is a Crucial Determinant of GFRS with Incidence of Severe Chronic GVHD Reducing over Time in Haemopoietic Cell Transplantation for Transfusion Dependent Thalassaemia: Real World Data from 2010-2021. an Analysis of the European Society for Blood and Bone Marrow Transplantation Hemoglobinopathy Working Party,,,
1023,Integrating Chromosomal 1 Abnormalities into the Definition of High-Risk Multiple Myeloma: A Report from the Australian and New Zealand Myeloma and Related Diseases Registry,,,
1043,Real World Efficacies of First Line Treatments in Non-Transplant-Eligible Newly Diagnosed (ND-NTE) Multiple Myeloma (MM) Patients: A Challenge to Maia ? an Analysis from the Austrian Myeloma Registry (AMR),,,
1061,Health Resource Utilization Among Patients with Warm Autoimmune Hemolytic Anemia in Sweden: A Retrospective Registry-Based Study,,,
1098,Complementary and Alternative Medicine (CAM) Use Reported Among Individuals with Immune Thrombocytopenia (ITP): Data from the ITP Natural History Study Registry,,,
1123,Chive-Impact: Establishing the Clonal Hematopoiesis and Inflammation in the Vasculature (CHIVE) Registry and Biorepository in Underserved Areas,,,
1171,Incorporating Patient-Reported Outcomes Version of the Common Terminology Criteria for Adverse Events (PRO-CTCAE) into Dose Review in a Phase I Clinical Trial,,,
1208,Real World Outcomes with Evolving Management of Cytokine Release Syndrome in CAR-T Therapy,CAR-T,,
1290,Treatment of First Relapse of Multiple Myeloma in Australia and New Zealand (ANZ): Treatment Patterns and Outcomes: An ANZ Myeloma and Related Diseases Registry (ANZ MRDR) Analysis,,,
1743,"Preliminary Data of a Single-Arm, Phase II Study of Orelabrutinib with/without Rituximab in Patients with Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma after BTK Inhibitor Therapy",Orelabrutinib,Rituximab,
2076,"Isatuximab in Combination with Bortezomib, Cyclophosphamide, and Dexamethasone, Followed By Isatuximab and Lenalidomide Maintenance in Newly Diagnosed Patients with Multiple Myeloma and Severe Renal Impairment: A Phase 2 Study of the Greek Myeloma Study Group","Bortezomib, Cyclophosphamide, Dexamethasone","Isatuximab, Lenalidomide",
2339,"Cyclophosphamide, Mitoxantrone Hydrochloride Liposome, Vincristine, and Prednisone Regimen with or without Rituximab (CMOP+-R) Shows High Efficacy As a First-Line Treatment for Non-Hodgkin's Lymphoma: A Phase II Clinical Trial with Matching-Adjusted Indirect Treatment Comparison (MAIC) Analysis","Cyclophosphamide, Mitoxantrone Hydrochloride, Prednisone, Vincristine",Rituximab,
2505,"A Phase II Trial of Azacitidine with Ipilimumab, Nivolumab, or Ipilimumab and Nivolumab with or without Azacitidine in Relapsed or Refractory Myelodysplastic Syndrome","Azacitidine, Ipilimumab, Nivolumab",Azacitidine,
3429,"ASC4REAL: Efficacy and Tolerability Comparison between Ascembl Study, a Phase 3 Randomized Clinical Trial (RCT), and Consolidated Real-World (RW) Evidence with Asciminib in CML Patients Beyond 2 TKIs",Asciminib,,
