ID,Category,Sub Category,Keyword,Do/Don't,Action,Example_Title,Output_Indication,Generated_Rule,Rule_Generation_Status
1,Common Check points,Separator,;;,✔,,Controversies in Neoadjuvant Management of Esophageal Cancer and Gastroesophageal Junction Adenocarcinoma,Esophageal Cancer;;Gastroesophageal Junction Adenocarcinoma,"If the input contains the keyword "";;"" for medical indication formatting, apply the following processing: use "";;"" as the sole, standardized delimiter between each distinct medical indication—replace any commas, slashes, conjunctions (e.g., ""and"", ""&""), or other connectors that separate multiple diseases with exactly two consecutive semicolons, remove any surrounding spaces, collapse multiple adjacent delimiters into a single "";;"", and ensure the final string has no leading or trailing delimiters, to maintain consistent separation between multiple medical indications.",Success
2,Common Check points,Separator,;,X,,Controversies in Neoadjuvant Management of Esophageal Cancer and Gastroesophageal Junction Adenocarcinoma,Esophageal Cancer;Gastroesophageal Junction Adenocarcinoma,"If the input contains "";"" for medical indication formatting, DO NOT include this in the output indication; replace or remove the single semicolon to comply with the standardized "";;"" delimiter requirement, as the single-semicolon separator format is not acceptable for medical indication standards.",Success
3,Common Check points,Separator,",",X,,Controversies in Neoadjuvant Management of Esophageal Cancer and Gastroesophageal Junction Adenocarcinoma,"Esophageal Cancer,Gastroesophageal Junction Adenocarcinoma","If the input contains "","" for medical indication formatting, DO NOT include this in the output indication, as this separator format is not acceptable for medical indication standards.",Success
4,Common Check points,Separator,.,X,,Controversies in Neoadjuvant Management of Esophageal Cancer and Gastroesophageal Junction Adenocarcinoma,Esophageal Cancer.Gastroesophageal Junction Adenocarcinoma,"If the input contains ""."" for medical indication formatting, DO NOT include this in the output indication, as this separator format is not acceptable for medical indication standards.",Success
5,Common Check points,Separator,:,X,,Controversies in Neoadjuvant Management of Esophageal Cancer and Gastroesophageal Junction Adenocarcinoma,Esophageal Cancer:Gastroesophageal Junction Adenocarcinoma,"If the input contains "":"" for medical indication formatting, DO NOT include this in the output indication, as this separator format is not acceptable for medical indication standards; remove the colon and, where separation of multiple indications is required, substitute the standard "";;"" separator instead.",Success
6,Common Check points,Separator,Space between separators  ;;,X,,Controversies in Neoadjuvant Management of Esophageal Cancer and Gastroesophageal Junction Adenocarcinoma,Esophageal Cancer ;; Gastroesophageal Junction Adenocarcinoma,"If the input contains ""Space between separators  ;;"" for medical indication formatting, DO NOT include this in the output indication; strip all whitespace characters (spaces, tabs, new-lines) that appear immediately before or after the double-semicolon so the separator is rendered exactly as "";;"", as any spaced variant of this separator is not acceptable for medical indication standards.",Success
7,Common Check points,Casing,Title case,✔,,Surgeon fatigue in robot-assisted and laparoscopic gastrectomy for gastric cancer: Exploratory prospective observational study ancillary to JCOG1907 randomized controlled trial (JCOG1907A1).,Gastric Cancer,"If the input contains the keyword ""Title case"" for medical indication formatting, apply the following processing: Convert every finalized medical-indication phrase to Title Case—capitalize the first letter of each clinically significant word (disease names, anatomic sites, treatment descriptors), leave standard gene symbols, biomarkers, and recognized abbreviations (e.g., HER2, PD-L1, EGFR) in their original all-caps form, keep short conjunctions/articles/prepositions (a, an, and, or, for, of, in) in lower case unless they begin the indication, and apply the conversion separately to each indication string when multiple indications are separated by "";;"", to ensure proper medical indication formatting and clinical accuracy.",Success
8,Common Check points,General,Singular,✔,,Surgeon fatigue in robot-assisted and laparoscopic gastrectomy for gastric cancer: Exploratory prospective observational study ancillary to JCOG1907 randomized controlled trial (JCOG1907A1).,Gastric Cancer,"If the input contains the Singular form for medical indication formatting, apply the following processing:  
1. Scan the entire title/abstract for disease or condition terms that are written in plural form (e.g., “cancers”, “carcinomas”, “tumours/tumors”, “leukemias”, “sarcomas”, “lymphomas”).  
2. Convert each detected plural term to its clinically accepted singular form while preserving any descriptive modifiers that precede it:  
   • “gastric cancers” → “Gastric Cancer”  
   • “metastatic breast cancers” → “Metastatic Breast Cancer”  
   • “hepatic carcinomas” → “Hepatic Carcinoma”  
   • Handle common irregular plurals: “meninges” → “meninx”, “appendices” → “appendix”, etc.  
3. Capitalize the first letter of each principal word in the resulting indication.  
4. If multiple singularized indications are produced, separate them with the standard double-semicolon delimiter “;;”.  
5. Leave non-disease plurals (e.g., “cells”, “genes”, “patients”) unchanged to avoid over-correction.  
6. Output only the finalized singular indication phrase(s) with no trailing punctuation.  

This ensures every medical indication is presented in its standard singular form, to maintain consistent medical indication formatting and clinical accuracy.",Success
9,Common Check points,General,Plural,X,,The effects of pre-existing psychiatric disorders on gastric cancer survival.,Psychiatric Disorder;;Gastric Cancer,"If the input contains plural disease or condition terminology (keyword ""Plural"") for medical indication formatting, DO NOT include the pluralized term in the output indication; instead, replace it with the clinically accepted singular form, as plural terminology is not acceptable for medical indication standards.",Success
10,Common Check points,General,Plural,X,,First-in-human phase 1/2 trial evaluating TAC01-CLDN18.2 autologous T cells in CLDN18.2-positive solid tumors.,CLDN18.2-Positive Solid Tumor,"If the input contains a plural disease term (keyword category “Plural”) for medical indication formatting, DO NOT include the plural form in the output indication; instead, remove the plural marker and output the singular disease term (e.g., “tumors” → “Tumor”, “cancers” → “Cancer”), as plural wording is not acceptable for medical indication standards.",Success
